Species,Authority,Common Name
Lobelia dortmanna,L.,Water Lobelia
Lobelia filiformis,Lam.,
Lobelia gracilis,Andrz.,
Lobelia siphilitica,L.,Great Lobelia
Pratia angulata,(G. Forst.) Hook. f.,Lawn Lobelia
Pratia arenaria,Hook. f.,Chatham Island Pratia
Downingia elegans,(Douglas ex Lindl.) Torr.,Californian Lobelia
Borreria verticillata,(L.) G. Mey.,
Monopsis debilis,(L. f.) C. Presl,
Symphyandra hofmannii,Pant.,
Triodanis biflora,(Ruiz & Pav.) Greene,
Triodanis perfoliata,(L.) Nieuwl.,
Coprosma repens,A. Rich.,Tree Bedstraw
Nertera granadensis,(Mutis ex L. f.) Druce,Beadplant 
Sherardia arvensis,L.,Field Madder
Phuopsis stylosa,(Trin.) Benth. & Hook. f. ex B.D. Jacks.,Caucasian Crosswort
Asperula cynanchica,L.,Squinancywort 
Asperula cynanchica subsp. cynanchica,,
Asperula cynanchica subsp. occidentalis,(Rouy) Stace,
Asperula taurina,L.,Pink Woodruff
Asperula arvensis,L.,Blue Woodruff
Asperula laevigata,L.,
Asperula orientalis,Boiss. & Hohen.,Annual Woodruff
Asperula tinctoria,L.,Dyer's Woodruff
Galium boreale,L.,Northern Bedstraw
Galium odoratum,(L.) Scop.,Woodruff 
Galium uliginosum,L.,Fen Bedstraw
Galium constrictum,Chaub.,Slender Marsh-bedstraw
Galium palustre,L.,Marsh-bedstraw 
Galium palustre subsp. palustre,,Common Marsh-bedstraw
Galium palustre subsp. elongatum,(C. Presl) Arcang.,Great Marsh-bedstraw
Galium verum,L.,Lady's Bedstraw
Galium verum x mollugo = G. x pomeranicum,Retz.,
Galium mollugo,L.,Hedge Bedstraw
Galium mollugo subsp. mollugo,,
Galium mollugo subsp. erectum,Syme,
Galium pumilum,Murray,Slender Bedstraw
Galium sterneri,Ehrend.,Limestone Bedstraw
Galium sterneri x saxatile,,
Galium saxatile,L.,Heath Bedstraw
Galium aparine,L.,Cleavers 
Galium spurium,L.,False Cleavers
Galium tricornutum,Dandy,Corn Cleavers
Galium parisiense,L.,Wall Bedstraw
Galium aristatum,L.,
Galium divaricatum,Pourr. ex Lam.,
Galium glaucum,L.,
Galium murale,(L.) All.,Small Goosegrass
Galium setaceum,Lam.,
Galium tenuissimum,M. Bieb.,
Galium verrucosum,Huds.,
Galium virgatum,Nutt. ex Torr. & A. Gray,
Cruciata laevipes,Opiz,Crosswort 
Cruciata articulata,(L.) Ehrend.,
Rubia peregrina,L.,Wild Madder
Rubia tinctorum,L.,Madder 
Crucianella angustifolia,L.,
Crucianella patula,L.,
Valantia muralis,L.,
Sambucus racemosa,L.,Red-berried Elder
Sambucus nigra,L.,Elder 
Sambucus canadensis,L.,American Elder
Sambucus ebulus,L.,Dwarf Elder
Viburnum opulus,L.,Guelder-rose 
Viburnum lantana,L.,Wayfaring-tree 
Viburnum lantana x rhytidophyllum = V. x rhytidophylloides,J.V. Suringar,
Viburnum tinus,L.,Laurustinus 
Viburnum rhytidophyllum,Hemsl.,Wrinkled Viburnum
Viburnum farreri,Stearn,
Viburnum farreri x grandiflorum = V. x bodnantense,Aberc.,
Viburnum lantanoides,Michx.,Hobble-bush 
Symphoricarpos albus,(L.) S.F. Blake,Snowberry 
Symphoricarpos microphyllus,Kunth,
Symphoricarpos orbiculatus,Moench,Coralberry 
Symphoricarpos microphyllus x orbiculatus = S. x chenaultii,Rehder,Hybrid Coralberry
Linnaea borealis,L.,Twinflower 
Leycesteria formosa,Wall.,Himalayan Honeysuckle
Lonicera pileata,Oliv.,Box-leaved Honeysuckle
Lonicera nitida,E.H. Wilson,Wilson's Honeysuckle
Lonicera involucrata,(Richardson) Banks ex Spreng.,Californian Honeysuckle
Lonicera xylosteum,L.,Fly Honeysuckle
Lonicera henryi,Hemsl.,Henry's Honeysuckle
Lonicera japonica,Thunb.,Japanese Honeysuckle
Lonicera periclymenum,L.,Honeysuckle 
Lonicera caprifolium,L.,Perfoliate Honeysuckle
Lonicera caprifolium x etrusca = L. x italica,Schmidt ex Tausch,Garden Honeysuckle
Lonicera alpigena,L.,Alpine Honeysuckle
Lonicera caerulea,L.,Blue-berried Honeysuckle
Lonicera chrysantha,Turcz.,
Lonicera etrusca,Santi,Etruscan Honeysuckle
Lonicera fragrantissima x standishii = L. x purpusii,Rehder,
Lonicera morrowii,A. Gray,Morrow's Honeysuckle
Lonicera standishii,Jacq.,
Lonicera syringantha,Maxim.,Lilac-scented Honeysuckle
Lonicera tatarica,L.,Tartarian Honeysuckle
Lonicera trichosantha,Bureau & Franch.,
Abelia uniflora,R. Br. ex Wall.,
Diervilla lonicera,Mill.,
Kolkwitzia amabilis,Graebn.,Beauty-bush 
Weigela florida,(Bunge) A. DC.,Weigelia 
Weigela japonica,Thunb.,
Adoxa moschatellina,L.,Moschatel 
Valerianella locusta,(L.) Laterr.,Common Cornsalad
Valerianella carinata,Loisel.,Keeled-fruited Cornsalad
Valerianella rimosa,Bastard,Broad-fruited Cornsalad
Valerianella dentata,(L.) Pollich,Narrow-fruited Cornsalad
Valerianella eriocarpa,Desv.,Hairy-fruited Cornsalad
Valerianella coronata,(L.) DC.,
Valerianella discoidea,(L.) Loisel.,
Valerianella kotschyi,Boiss.,
Valerianella microcarpa,Loisel.,
Valeriana officinalis,L.,Common Valerian
Valeriana pyrenaica,L.,Pyrenean Valerian
Valeriana dioica,L.,Marsh Valerian
Valeriana phu,L.,
Centranthus ruber,(L.) DC.,Red Valerian
Centranthus calcitrapae,(L.) Dufr.,Annual Valerian
Centranthus macrosiphon,(L.) Dufr.,Spanish Valerian
Fedia cornucopiae,(L.) Gaertn.,Horn-of-plenty 
Dipsacus fullonum,L.,Wild Teasel
Dipsacus fullonum x sativus,,
Dipsacus fullonum x laciniatus = D. x pseudosilvester,Schur,
Dipsacus sativus,(L.) Honck.,Fuller's Teasel
Dipsacus pilosus,L.,Small Teasel
Dipsacus strigosus,Willd.,Yellow-flowered Teasel
Dipsacus laciniatus,L.,Cut-leaved Teasel
Cephalaria gigantea,(Ledeb.) Bobrov,Giant Scabious
Cephalaria alpina,(Lag.) Roem. & Schult.,Alpine Scabious
Cephalaria syriaca,(L.) Schrad.,
Cephalaria transylvanica,(L.) Roem. & Schult.,
Knautia arvensis,(L.) Coult.,Field Scabious
Knautia dipsacifolia,(Schrank) Kreutzer,
Succisa pratensis,Moench,Devil's-bit Scabious
Scabiosa columbaria,L.,Small Scabious
Scabiosa atropurpurea,L.,Sweet Scabious
Scabiosa canescens,Waldst. & Kit.,
Scabiosa caucasica,M. Bieb.,Pincushion-flower 
Scabiosa ochroleuca,L.,
Scabiosa prolifera,L.,
Scabiosa tricuspidata,"hort., nom. nud.",
Morina longifolia,Wall. ex DC.,Whorl-flower 
Succisella inflexa,(Kluk) Beck,
Echinops sphaerocephalus,L.,Glandular Globe-thistle
Echinops exaltatus,Schrad.,Globe-thistle 
Echinops bannaticus,Rochel ex Schrad.,Blue Globe-thistle
Echinops humilis,M. Bieb.,
Echinops strigosus,L.,Rough-leaved Globe-thistle
Carlina vulgaris,L.,Carline Thistle
Carlina acaulis,L.,
Arctium lappa,L.,Greater Burdock
Arctium lappa x minus = A. x nothum,(Ruhmer) J. Weiss,
Arctium minus,(Hill) Bernh.,Lesser Burdock
Arctium minus agg.,,
Arctium nemorosum,Lej.,Wood Burdock
Arctium tomentosum,Mill.,Woolly Burdock
Saussurea alpina,(L.) DC.,Alpine Saw-wort
Saussurea discolor,(Willd.) DC.,Heart-leaved Saussurea
Carduus tenuiflorus,Curtis,Slender Thistle
Carduus pycnocephalus,L.,Plymouth Thistle
Carduus crispus,L.,Welted Thistle
Carduus crispus subsp. multiflorus,(Gaudin) Gremli,
Carduus crispus x nutans = C. x stangii,H. Buek ex Nyman,
Carduus nutans,L.,Musk Thistle
Carduus argentatus,L.,
Carduus chrysacanthus,L.,
Carduus hamulosus,Ehrh.,
Carduus leucophyllus,Turcz.,
Carduus macrocephalus,Desf.,Giant Thistle
Carduus nigrescens,Vill.,
Carduus thoermeri,Weinm.,
Carduus vivariensis,Jord.,
Cirsium eriophorum,(L.) Scop.,Woolly Thistle
Cirsium eriophorum x vulgare = C. x grandiflorum,Kitt.,
Cirsium vulgare,(Savi) Ten.,Spear Thistle
Cirsium vulgare x acaule = C. x sabaudum,M. Loehr,
Cirsium vulgare x palustre = C. x subspinuligerum,Peterm.,
Cirsium dissectum,(L.) Hill,Meadow Thistle
Cirsium dissectum x acaule = C. x woodwardii,(H.C. Watson) Nyman,
Cirsium dissectum x palustre = C. x forsteri,(Sm.) Loudon,
Cirsium tuberosum,(L.) All.,Tuberous Thistle
Cirsium tuberosum x acaule = C. x medium,All.,
Cirsium tuberosum x palustre = C. x semidecurrens,Richt.,
Cirsium erisithales,(Jacq.) Scop.,Yellow Thistle
Cirsium heterophyllum,(L.) Hill,Melancholy Thistle
Cirsium heterophyllum x palustre = C. x wankelii,Reichardt,
Cirsium oleraceum,(L.) Scop.,Cabbage Thistle
Cirsium acaule,(L.) Scop.,Dwarf Thistle
Cirsium acaule x palustre = C. x kirschlegeri,Sch. Bip.,
Cirsium acaule x arvense = C. x boulayi,E.G. Camus,
Cirsium palustre,(L.) Scop.,Marsh Thistle
Cirsium palustre x arvense = C. x celakovskianum,Knaf,
Cirsium arvense,(L.) Scop.,Creeping Thistle
Cirsium creticum,(Lam.) d'Urv.,
Cirsium edule,Nutt.,Indian Thistle
Cirsium italicum,(Savi) DC.,
Cirsium monspessulanum,(L.) Hill,
Cirsium rivulare,(Jacq.) All.,Brook Thistle
Onopordum acanthium,L.,Cotton Thistle
Onopordum illyricum,L.,Illyrian Thistle
Onopordum macracanthum,Boiss.,
Onopordum nervosum,Boiss.,Reticulate Thistle
Onopordum tauricum,Willd.,
Silybum marianum,(L.) Gaertn.,Milk Thistle
Serratula tinctoria,L.,Saw-wort 
Acroptilon repens,(L.) DC.,Russian Knapweed
Centaurea scabiosa,L.,Greater Knapweed
Centaurea montana,L.,Perennial Cornflower
Centaurea cyanus,L.,Cornflower 
Centaurea calcitrapa,L.,Red Star-thistle
Centaurea aspera,L.,Rough Star-thistle
Centaurea solstitialis,L.,Yellow Star-thistle
Centaurea nigra,L.,Common Knapweed
Centaurea nigra x jacea = C. x moncktonii,C.E. Britton,Hybrid Knapweed
Centaurea apiculata,Ledeb.,
Centaurea atropurpurea,Waldst. & Kit.,
Centaurea bruguieriana,(DC.) Hand.-Mazz.,
Centaurea centauroides,L.,
Centaurea cheiranthifolia,Willd.,
Centaurea cineraria,L.,
Centaurea dalmatica,A. Kern.,
Centaurea dealbata,Willd.,
Centaurea debeauxii,Gren. & Godr.,Slender Knapweed
Centaurea debeauxii subsp. nemoralis,(Jord.) Dostál,
Centaurea depressa,M. Bieb.,
Centaurea diffusa,Lam.,
Centaurea diluta,Aiton,Lesser Star-thistle
Centaurea eriophora,L.,
Centaurea hyalolepis,Boiss.,
Centaurea iberica,Trevir. ex Spreng.,Iberian Star-thistle
Centaurea intybacea,Lam.,
Centaurea jacea,L.,Brown Knapweed
Centaurea leucophaea,Jord.,Whitish-leaved Knapweed
Centaurea macrocephala,Muss. Puschk. ex Willd.,Giant Knapweed
Centaurea maculosa,Lam.,Spotted Knapweed
Centaurea melitensis,L.,Maltese Star-thistle
Centaurea napifolia,L.,
Centaurea nicaeensis,All.,
Centaurea orientalis,L.,
Centaurea paniculata,L.,Jersey Knapweed
Centaurea patula,DC.,
Centaurea pullata,L.,
Centaurea rhenana,Boreau,Panicled Knapweed
Centaurea spinosa,L.,
Centaurea stenolepis,A. Kern.,
Centaurea trichocephala,M. Bieb. ex Willd.,
Centaurea triumfetti,All.,
Centaurea verutum,L.,
Cichorium intybus,L.,Chicory 
Cichorium endivia,L.,Endive 
Arnoseris minima,(L.) Schweigg. & Körte,Lamb's Succory
Lapsana communis,L.,Nipplewort 
Lapsana communis subsp. communis,,
Lapsana communis subsp. intermedia,(M. Bieb.) Hayek,
Hypochaeris radicata,L.,Cat's-ear 
Hypochaeris radicata x glabra = H. x intermedia,Richt.,
Hypochaeris glabra,L.,Smooth Cat's-ear
Hypochaeris maculata,L.,Spotted Cat's-ear
Hypochaeris achyrophorus,L.,
Leontodon autumnalis,L.,Autumn Hawkbit
Leontodon autumnalis subsp. autumnalis,,
Leontodon autumnalis subsp. pratensis,(Hornem.) Gremli,
Leontodon hispidus,L.,Rough Hawkbit
Leontodon hispidus subsp. danubialis,(Jacq.) Simonk.,
Leontodon hispidus x saxatilis,,
Leontodon saxatilis,Lam.,Lesser Hawkbit
Leontodon muelleri,(Sch. Bip.) Fiori,
Leontodon salzmannii,(Sch. Bip.) Ball,
Picris echioides,L.,Bristly Oxtongue
Picris hieracioides,L.,Hawkweed Oxtongue
Picris hieracioides subsp. hieracioides,,
Picris hieracioides subsp. spinulosa,(Bertol. ex Guss.) Arcang.,
Picris altissima,Delile,
Picris cupuligera,(Durieu) Walp.,
Picris pilosa,Delile,
Scorzonera humilis,L.,Viper's-grass 
Scorzonera hispanica,L.,Scorzonera 
Tragopogon pratensis,L.,Goat's-beard 
Tragopogon pratensis subsp. pratensis,,
Tragopogon pratensis subsp. minor,(Mill.) Wahlenb.,
Tragopogon pratensis subsp. orientalis,(L.) Celak.,
Tragopogon pratensis x porrifolius = T. x mirabilis,Rouy,
Tragopogon porrifolius,L.,Salsify 
Tragopogon crocifolius,L.,
Tragopogon hybridus,L.,Slender Salsify
Aetheorhiza bulbosa,(L.) Cass.,Tuberous Hawk's-beard
Sonchus palustris,L.,Marsh Sow-thistle
Sonchus arvensis,L.,Perennial Sow-thistle
Sonchus oleraceus,L.,Smooth Sow-thistle
Sonchus oleraceus x asper,,
Sonchus asper,(L.) Hill,Prickly Sow-thistle
Sonchus maritimus,L.,
Sonchus tenerrimus,L.,Slender Sow-thistle
Lactuca serriola,L.,Prickly Lettuce
Lactuca virosa,L.,Great Lettuce
Lactuca saligna,L.,Least Lettuce
Lactuca tatarica,(L.) C.A. Mey.,Blue Lettuce
Lactuca perennis,L.,Mountain Lettuce
Lactuca sativa,L.,Garden Lettuce
Lactuca viminea,(L.) J. Presl & C. Presl,Pliant Lettuce
Cicerbita alpina,(L.) Wallr.,Alpine Blue-sow-thistle
Cicerbita macrophylla,(Willd.) Wallr.,Common Blue-sow-thistle
Cicerbita macrophylla subsp. uralensis,(Rouy) P.D. Sell,
Cicerbita plumieri,(L.) Kirschl.,Hairless Blue-sow-thistle
Cicerbita bourgaei,(Boiss.) Beauverd,Pontic Blue-sow-thistle
Mycelis muralis,(L.) Dumort.,Wall Lettuce
Taraxacum acutum,A.J. Richards,
Taraxacum arenastrum,A.J. Richards,
Taraxacum argutum,Dahlst.,
Taraxacum brachyglossum,(Dahlst.) Raunk.,
Taraxacum cenabense,Sahlin,
Taraxacum commixtum,G.E. Haglund,
Taraxacum degelii,G.E. Haglund,
Taraxacum disseminatum,G.E. Haglund,
Taraxacum dunense,Soest,
Taraxacum falcatum,Brenner,
Taraxacum fulviforme,Dahlst.,
Taraxacum fulvum,Raunk.,
Taraxacum glauciniforme,Dahlst.,
Taraxacum inopinatum,C.C. Haw.,
Taraxacum lacistophyllum,(Dahlst.) Raunk.,
Taraxacum oxoniense,Dahlst.,
Taraxacum placidum,A.J. Richards,
Taraxacum proximiforme,Soest,
Taraxacum proximum,(Dahlst.) Raunk.,
Taraxacum pseudoproximum,Soest,
Taraxacum retzii,Soest,
Taraxacum rubicundum,(Dahlst.) Dahlst.,
Taraxacum scanicum,Dahlst.,
Taraxacum scoticum,A.J. Richards,
Taraxacum parnassicum,Dahlst.,
Taraxacum tanylepis,Dahlst.,
Taraxacum tortilobum,Florstr.,
Taraxacum wallonicum,Soest,
Taraxacum obliquum,(Fr.) Dahlst.,
Taraxacum platyglossum,Raunk.,
Taraxacum anglicum,Dahlst.,
Taraxacum palustre,(Lyons) Symons,
Taraxacum webbii,A.J. Richards,
Taraxacum faeroense,(Dahlst.) Dahlst.,
Taraxacum serpenticola,A.J. Richards,
Taraxacum cornubiense,A.J. Richards,
Taraxacum drucei,Dahlst.,
Taraxacum euryphyllum,(Dahlst.) Hjelt,
Taraxacum maculosum,A.J. Richards,
Taraxacum naevosiforme,Dahlst.,
Taraxacum naevosum,Dahlst.,
Taraxacum pseudolarssonii,A.J. Richards,
Taraxacum richardsianum,C.C. Haw.,
Taraxacum stictophyllum,Dahlst.,
Taraxacum subnaevosum,A.J. Richards,
Taraxacum ceratolobum,Dahlst.,
Taraxacum clovense,A.J. Richards,
Taraxacum craspedotum,Dahlst.,
Taraxacum cymbifolium,H. Lindb. ex Dahlst.,
Taraxacum pycnostictum,M.P. Christ.,
Taraxacum xiphoideum,G.E. Haglund,
Taraxacum beeftinkii,"Hagend., Soest & Zevenb.",
Taraxacum berthae,C.C. Haw.,
Taraxacum bracteatum,Dahlst.,
Taraxacum britannicum,Dahlst.,
Taraxacum caledonicum,A.J. Richards,
Taraxacum cambricum,A.J. Richards,
Taraxacum celticum,A.J. Richards,
Taraxacum duplidentifrons,Dahlst.,
Taraxacum excellens,Dahlst.,
Taraxacum fulgidum,G.E. Haglund,
Taraxacum fulvicarpum,Dahlst.,
Taraxacum gelertii,Raunk.,
Taraxacum haematicum,G.E. Haglund ex H. Øllg. & Wittzell,
Taraxacum hesperium,C.C. Haw.,
Taraxacum hygrophilum,Soest,
Taraxacum inane,A.J. Richards,
Taraxacum lancastriense,A.J. Richards,
Taraxacum landmarkii,Dahlst.,
Taraxacum luteum,C.C. Haw. & A.J. Richards,
Taraxacum nordstedtii,Dahlst.,
Taraxacum oellgaardii,C.C. Haw.,
Taraxacum olgae,A.J. Richards,
Taraxacum orcadense,Dahlst.,
Taraxacum ostenfeldii,Raunk.,
Taraxacum palustrisquameum,A.J. Richards,
Taraxacum porteri,C.C. Haw.,
Taraxacum pseudonordstedtii,A.J. Richards,
Taraxacum subbracteatum,A.J. Richards,
Taraxacum tamesense,A.J. Richards,
Taraxacum texelense,"Hagend., Soest & Zevenb.",
Taraxacum unguilobum,Dahlst.,
Taraxacum atactum,Sahlin & Soest,
Taraxacum boekmanii,Borgv.,
Taraxacum fusciflorum,H. Øllg.,
Taraxacum hamatiforme,Dahlst.,
Taraxacum hamatulum,"Hagend., Soest & Zevenb.",
Taraxacum hamatum,Raunk.,
Taraxacum hamiferum,Dahlst.,
Taraxacum kernianum,"Hagend., Soest & Zevenb.",
Taraxacum lamprophyllum,M.P. Christ.,
Taraxacum lancidens,"Hagend., Soest & Zevenb.",
Taraxacum marklundii,Palmgr.,
Taraxacum polyhamatum,H. Øllg.,
Taraxacum prionum,"Hagend., Soest & Zevenb.",
Taraxacum pruinatum,M.P. Christ.,
Taraxacum pseudohamatum,Dahlst.,
Taraxacum quadrans,H. Øllg.,
Taraxacum spiculatum,M.P. Christ.,
Taraxacum subhamatum,M.P. Christ.,
Taraxacum aberrans,"Hagend., Soest & Zevenb.",
Taraxacum acroglossum,Dahlst.,
Taraxacum acutifidum,M.P. Christ.,
Taraxacum acutifrons,Markl.,
Taraxacum aequilobum,Dahlst.,
Taraxacum aequisectum,M.P. Christ.,
Taraxacum alatum,H. Lindb.,
Taraxacum altissimum,H. Lindb.,
Taraxacum amplum,Markl.,
Taraxacum ancistrolobum,Dahlst.,
Taraxacum angulare,"Hagend., Soest & Zevenb.",
Taraxacum angustisquameum,Dahlst. ex H. Lindb.,
Taraxacum atonolobum,"Hagend., Soest & Zevenb.",
Taraxacum aurosulum,H. Lindb.,
Taraxacum caloschistum,Dahlst.,
Taraxacum cherwellense,A.J. Richards,
Taraxacum chloroticum,Dahlst.,
Taraxacum chrysophaenum,Rail.,
Taraxacum cophocentrum,Dahlst.,
Taraxacum cordatum,Palmgr.,
Taraxacum corynodes,G.E. Haglund,
Taraxacum croceiflorum,Dahlst.,
Taraxacum curtifrons,H. Øllg.,
Taraxacum cyanolepis,Dahlst.,
Taraxacum dahlstedtii,H. Lindb.,
Taraxacum densilobum,Dahlst.,
Taraxacum diastematicum,Markl.,
Taraxacum dilaceratum,M.P. Christ.,
Taraxacum dilatatum,H. Lindb.,
Taraxacum ekmanii,Dahlst.,
Taraxacum exacutum,Markl.,
Taraxacum expallidiforme,Dahlst.,
Taraxacum exsertiforme,"Hagend., Soest & Zevenb.",
Taraxacum exsertum,"Hagend., Soest & Zevenb.",
Taraxacum fagerstroemii,Såltin,
Taraxacum fasciatum,Dahlst.,
Taraxacum adiantifrons,E. Ekman ex Dahlst.,
Taraxacum hexhamense,A.J. Richards,
Taraxacum horridifrons,Rail.,
Taraxacum huelphersianum,Dahlst.,
Taraxacum incisum,H. Øllg.,
Taraxacum insigne,E. Ekman ex M.P. Christ. & Wiinst.,
Taraxacum interveniens,G.E. Haglund,
Taraxacum intumescens,G.E. Haglund,
Taraxacum lacerifolium,G.E. Haglund,
Taraxacum laciniosifrons,Wiinst.,
Taraxacum laciniosum,Dahlst.,
Taraxacum laeticolor,Dahlst.,
Taraxacum laticordatum,Markl.,
Taraxacum latisectum,H. Lindb.,
Taraxacum latissimum,Palmgr.,
Taraxacum leptodon,Markl.,
Taraxacum leucopodum,G.E. Haglund,
Taraxacum lingulatum,Markl.,
Taraxacum longisquameum,H. Lindb.,
Taraxacum lucidum,Dahlst.,
Taraxacum lunare,M.P. Christ.,
Taraxacum macranthoides,G.E. Haglund,
Taraxacum macrolobum,Dahlst.,
Taraxacum maculatum,Jord.,
Taraxacum margettsii,C.C. Haw.,
Taraxacum melanthoides,Dahlst. ex M.P. Christ. & Wiinst.,
Taraxacum mimulum,Dahlst. ex H. Lindb.,
Taraxacum multicolorans,"Hagend., Soest & Zevenb.",
Taraxacum necessarium,H. Øllg.,
Taraxacum nitidum,"Hagend., Soest & Zevenb.",
Taraxacum obliquilobum,Dahlst.,
Taraxacum oblongatum,Dahlst.,
Taraxacum obtusifrons,Markl.,
Taraxacum obtusilobum,Dahlst. ex G.E. Haglund,
Taraxacum ochrochlorum,G.E. Haglund ex Rail.,
Taraxacum pachylobum,Dahlst.,
Taraxacum pachymerum,G.E. Haglund,
Taraxacum pallescens,Dahlst.,
Taraxacum pallidipes,Markl.,
Taraxacum pannucium,Dahlst.,
Taraxacum pannulatiforme,Dahlst.,
Taraxacum pannulatum,Dahlst.,
Taraxacum pectinatiforme,H. Lindb.,
Taraxacum piceatum,Dahlst.,
Taraxacum planum,Raunk.,
Taraxacum polyodon,Dahlst.,
Taraxacum porrigens,Markl. ex Puol.,
Taraxacum procerisquameum,H. Øllg.,
Taraxacum pseudoretroflexum,M.P. Christ.,
Taraxacum pulchrifolium,Markl.,
Taraxacum remanentilobum,Soest,
Taraxacum retroflexum,H. Lindb.,
Taraxacum rhamphodes,G.E. Haglund,
Taraxacum sagittipotens,Dahlst. & R. Ohlsen ex G.E. Haglund,
Taraxacum scotiniforme,Dahlst. ex G.E. Haglund,
Taraxacum sellandii,Dahlst.,
Taraxacum semiglobosum,H. Lindb.,
Taraxacum sinuatum,Dahlst.,
Taraxacum speciosum,Raunk.,
Taraxacum stenacrum,Dahlst.,
Taraxacum stereodes,Ekman ex G.E. Haglund,
Taraxacum subcyanolepis,M.P. Christ.,
Taraxacum subexpallidum,Dahlst.,
Taraxacum subhuelphersianum,M.P. Christ.,
Taraxacum sublaeticolor,Dahlst.,
Taraxacum sublongisquameum,M.P. Christ.,
Taraxacum lepidum,M.P. Christ.,
Taraxacum subundulatum,Dahlst.,
Taraxacum subxanthostigma,M.P. Christ. ex H. Øllg.,
Taraxacum tanyphyllum,Dahlst.,
Taraxacum tenebricans,(Dahlst.) Dahlst.,
Taraxacum trilobatum,Palmgr.,
Taraxacum tumentilobum,Markl. ex Puol.,
Taraxacum undulatiflorum,M.P. Christ.,
Taraxacum undulatum,H. Lindb. & Markl.,
Taraxacum valens,Markl.,
Taraxacum vastisectum,Markl. ex Puol.,
Taraxacum xanthostigma,H. Lindb.,
Taraxacum officinale agg.,,
Taraxacum akteum,"Hagend., Soest & Zevenb.",
Taraxacum amarellum,Kirschner & Stepanek,
Taraxacum breconense,C.C. Haw.,
Taraxacum ciliare,Soest,
Taraxacum coartatum,G.E. Haglund,
Taraxacum edmondsonianum,H. Øllg.,
